Date,Country,"Cumulative number of confirmed, probable and suspected cases","Cumulative number of of confirmed, probable and suspected deaths"
8/29/14,Guinea,648,430
8/29/14,Nigeria,19,7
8/29/14,Sierra Leone,1026,422
8/29/14,Liberia,1378,694
9/5/14,Sierra Leone,1261,491
9/5/14,Nigeria,22,8
9/5/14,Liberia,1871,1089
9/5/14,Guinea,812,517
9/5/14,Senegal,1,0
9/8/14,Senegal,3,0
9/8/14,Guinea,862,555
9/8/14,Sierra Leone,1361,509
9/8/14,Liberia,2046,1224
9/8/14,Nigeria,21,8
9/12/14,Guinea,861,557
9/12/14,Sierra Leone,1424,524
9/12/14,Nigeria,21,8
9/12/14,Liberia,2081,1137
9/12/14,Senegal,3,0
9/16/14,Senegal,1,0
9/16/14,Sierra Leone,1620,562
9/16/14,Guinea,936,595
9/16/14,Nigeria,21,8
9/16/14,Liberia,2407,1296
9/18/14,Nigeria,21,8
9/18/14,Guinea,942,601
9/18/14,Sierra Leone,1673,562
9/18/14,Liberia,2710,1459
9/18/14,Senegal,1,0
9/22/14,Nigeria,20,8
9/22/14,Sierra Leone,1813,593
9/22/14,Liberia,3022,1578
9/22/14,Senegal,1,0
9/22/14,Guinea,1008,632
9/24/14,Liberia,3280,1677
9/24/14,Guinea,1022,635
9/24/14,Nigeria,20,8
9/24/14,Senegal,1,0
9/24/14,Sierra Leone,1940,597
9/26/14,Sierra Leone,2021,605
9/26/14,Liberia,3458,1830
9/26/14,Senegal,1,0
9/26/14,Guinea,1074,648
9/26/14,Nigeria,20,8
10/1/14,Guinea,1157,710
10/1/14,Senegal,1,0
10/1/14,Nigeria,20,8
10/1/14,Sierra Leone,2304,622
10/1/14,Liberia,3696,1998
10/3/14,United States of America,1,0
10/3/14,Nigeria,20,8
10/3/14,Guinea,1199,739
10/3/14,Liberia,3834,2069
10/3/14,Sierra Leone,2437,623
10/3/14,Senegal,1,0
10/8/14,Nigeria,20,8
10/8/14,United States of America,1,0
10/8/14,Senegal,1,0
10/8/14,Guinea,1298,768
10/8/14,Sierra Leone,2789,879
10/8/14,Liberia,3924,2210
10/10/14,United States of America,1,0
10/10/14,Senegal,1,0
10/10/14,Liberia,4076,2316
10/10/14,Nigeria,20,8
10/10/14,Spain,1,0
10/10/14,Guinea,1350,778
10/10/14,Sierra Leone,2950,930
10/15/14,United States of America,2,1
10/15/14,Senegal,1,0
10/15/14,Nigeria,20,8
10/15/14,Liberia,4249,2458
10/15/14,Spain,1,0
10/15/14,Guinea,1472,843
10/15/14,Sierra Leone,3252,1183
10/17/14,Guinea,1519,862
10/17/14,Nigeria,20,8
10/17/14,Spain,1,0
10/17/14,Senegal,1,0
10/17/14,United States of America,3,1
10/17/14,Liberia,4262,2484
10/17/14,Sierra Leone,3410,1200
10/22/14,Nigeria,20,8
10/22/14,Spain,1,0
10/22/14,United States of America,3,1
10/22/14,Sierra Leone,3706,1259
10/22/14,Senegal,1,0
10/22/14,Liberia,4665,2705
10/22/14,Guinea,1540,904
10/25/14,Mali,1,1
10/25/14,United States of America,4,1
10/25/14,Sierra Leone,3896,1281
10/25/14,Spain,1,0
10/25/14,Senegal,1,0
10/25/14,Nigeria,20,8
10/25/14,Guinea,1553,926
10/25/14,Liberia,4665,2705
10/29/14,Liberia,6535,2413
10/29/14,Mali,1,1
10/29/14,Nigeria,20,8
10/29/14,Senegal,1,0
10/29/14,Spain,1,0
10/29/14,Guinea,1906,997
10/29/14,United States of America,4,1
10/29/14,Sierra Leone,5235,1500
10/31/14,Guinea,1667,1018
10/31/14,Nigeria,20,8
10/31/14,Spain,1,0
10/31/14,United States of America,4,1
10/31/14,Senegal,1,0
10/31/14,Mali,1,1
10/31/14,Liberia,6535,2413
10/31/14,Sierra Leone,5338,1510
11/5/14,Spain,1,0
11/5/14,United States of America,4,1
11/5/14,Guinea,1731,1041
11/5/14,Liberia,6525,2697
11/5/14,Mali,1,1
11/5/14,Nigeria,20,8
11/5/14,Senegal,1,0
11/5/14,Sierra Leone,4759,1070
11/7/14,Nigeria,20,8
11/7/14,Guinea,1760,1054
11/7/14,United States of America,4,1
11/7/14,Senegal,1,0
11/7/14,Liberia,6619,2766
11/7/14,Spain,1,0
11/7/14,Mali,1,1
11/7/14,Sierra Leone,4862,1130
11/12/14,Spain,1,0
11/12/14,United States of America,4,1
11/12/14,Mali,4,4
11/12/14,Nigeria,20,8
11/12/14,Guinea,1878,1142
11/12/14,Sierra Leone,5368,1169
11/12/14,Liberia,6822,2836
11/12/14,Senegal,1,0
11/14/14,Senegal,1,0
11/14/14,Guinea,1919,1166
11/14/14,Spain,1,0
11/14/14,Nigeria,20,8
11/14/14,Mali,4,3
11/14/14,United States of America,4,1
11/14/14,Liberia,6878,2812
11/14/14,Sierra Leone,5586,1187
11/19/14,Liberia,7069,2964
11/19/14,Spain,1,0
11/19/14,Sierra Leone,6073,1250
11/19/14,Senegal,1,0
11/19/14,Nigeria,20,8
