Date,Price
1962-01-02,6.281418905018654e-07
1962-01-03,6.183778396007256e-07
1962-01-04,6.118683586464613e-07
1962-01-05,6.021047624926723e-07
1962-01-08,5.923411094954645e-07
1962-01-09,5.988499651721213e-07
1962-01-10,6.118683586464613e-07
1962-01-11,6.086140160732612e-07
1962-01-12,6.021047624926723e-07
1962-01-15,6.021047624926723e-07
1962-01-16,5.988499651721213e-07
1962-01-17,6.021047624926723e-07
1962-01-18,5.972228223072307e-07
1962-01-19,6.037318485141441e-07
1962-01-22,5.972228223072307e-07
1962-01-23,5.923411094954645e-07
1962-01-24,5.90713511883223e-07
1962-01-25,5.890864827051701e-07
1962-01-26,5.874590556231851e-07
1962-01-29,5.955959068160155e-07
1962-01-30,5.923411094954645e-07
1962-01-31,6.053599008737365e-07
1962-02-01,6.102412726249895e-07
1962-02-02,6.395330842678959e-07
1962-02-05,6.671970140814665e-07
1962-02-06,6.964888257243729e-07
1962-02-07,7.029978519312863e-07
1962-02-08,6.948616260160634e-07
1962-02-09,6.932336873433087e-07
1962-02-12,6.867253432574216e-07
1962-02-13,6.818349334025697e-07
1962-02-14,6.622603905270807e-07
1962-02-15,6.622603905270807e-07
1962-02-16,6.589987719962664e-07
1962-02-19,6.54104894692864e-07
1962-02-20,6.42686586616037e-07
1962-02-21,6.263746286094829e-07
1962-02-23,6.19849856775545e-07
1962-02-26,6.32899684660515e-07
1962-02-27,6.410551804947318e-07
1962-02-28,6.32899684660515e-07
1962-03-01,6.345306928778882e-07
1962-03-02,6.312681080089533e-07
1962-03-05,6.32899684660515e-07
1962-03-06,6.410551804947318e-07
1962-03-07,6.42686586616037e-07
1962-03-08,6.45949114641553e-07
1962-03-09,6.42686586616037e-07
1962-03-12,6.492116426670691e-07
1962-03-13,6.704165684823238e-07
1962-03-14,6.818349334025697e-07
1962-03-15,6.867283559586213e-07
1962-03-16,6.704165684823238e-07
1962-03-19,6.68785389734694e-07
1962-03-20,6.68785389734694e-07
1962-03-21,6.655233732999477e-07
1962-03-22,6.638923650825745e-07
1962-03-23,6.573670248144481e-07
1962-03-26,6.589987719962664e-07
1962-03-27,6.492116426670691e-07
1962-03-28,6.45949114641553e-07
1962-03-29,6.45949114641553e-07
1962-03-30,6.312681080089533e-07
1962-04-02,6.280061484176258e-07
1962-04-03,6.312681080089533e-07
1962-04-04,6.296368155744858e-07
1962-04-05,6.32899684660515e-07
1962-04-06,6.280061484176258e-07
1962-04-09,6.263746286094829e-07
1962-04-10,6.19849856775545e-07
1962-04-11,6.231121574273857e-07
1962-04-12,6.068003699510882e-07
1962-04-13,6.182185643410776e-07
1962-04-16,6.16587328750029e-07
1962-04-17,6.16587328750029e-07
1962-04-18,6.133249712547695e-07
1962-04-19,6.16587328750029e-07
1962-04-23,6.149562068458181e-07
1962-04-24,6.068003699510882e-07
1962-04-25,6.051692480468773e-07
1962-04-26,5.937513378739823e-07
1962-04-27,5.839639243276906e-07
1962-04-30,5.611272513306176e-07
1962-05-01,5.839639243276906e-07
1962-05-02,5.888576879442553e-07
1962-05-03,5.921199885960959e-07
1962-05-04,5.986443625261018e-07
1962-05-07,6.002755412737315e-07
1962-05-08,5.95382516621612e-07
1962-05-09,5.921199885960959e-07
1962-05-10,5.790701607111259e-07
1962-05-11,5.741766244682367e-07
1962-05-14,5.774391524937528e-07
1962-05-15,5.855948188582261e-07
1962-05-16,5.839639243276906e-07
1962-05-17,5.87225940762437e-07
1962-05-18,5.774391524937528e-07
1962-05-21,5.709144943466526e-07
1962-05-22,5.660103283844364e-07
1962-05-23,5.49651986148092e-07
1962-05-24,5.439261485662428e-07
1962-05-25,5.103907483317016e-07
1962-05-28,4.662226444906992e-07
1962-05-29,4.907605557491479e-07
1962-05-31,5.169343921807013e-07
1962-06-01,5.234779223428632e-07
1962-06-04,5.038473886997963e-07
1962-06-05,4.915781914860418e-07
1962-06-06,4.989400963495427e-07
1962-06-07,5.005757657272625e-07
1962-06-08,5.022118898523331e-07
1962-06-11,4.989400963495427e-07
1962-06-12,4.678583707118378e-07
1962-06-13,4.515000284754933e-07
1962-06-14,4.3023362650274077e-07
1962-06-15,4.776736091116618e-07
1962-06-18,4.678583707118378e-07
1962-06-19,4.580431891554327e-07
1962-06-20,4.711299084192433e-07
1962-06-21,4.515000284754933e-07
1962-06-22,4.539535893854918e-07
1962-06-25,4.678583707118378e-07
1962-06-26,4.662226444906992e-07
1962-06-27,4.580431891554327e-07
1962-06-28,4.809455731447088e-07
1962-06-29,5.079372726868314e-07
1962-07-02,5.152985522727249e-07
1962-07-03,5.136628260515863e-07
1962-07-05,5.152985522727249e-07
1962-07-06,4.940322924085194e-07
1962-07-09,5.005757657272625e-07
1962-07-10,5.038473886997963e-07
1962-07-11,4.923963956571242e-07
1962-07-12,5.054835128248669e-07
1962-07-13,5.120267019265157e-07
1962-07-16,5.022118898523331e-07
1962-07-17,5.022118898523331e-07
1962-07-18,4.923963956571242e-07
1962-07-19,4.874888190897764e-07
1962-07-20,4.874888190897764e-07
1962-07-23,4.825812993658474e-07
1962-07-24,4.6131472686283814e-07
1962-07-25,4.64586747739304e-07
1962-07-26,4.793095627064758e-07
1962-07-27,4.793095627064758e-07
1962-07-30,4.776736091116618e-07
1962-07-31,4.883069095740211e-07
1962-08-01,4.874888190897764e-07
1962-08-02,4.874888190897764e-07
1962-08-03,4.678583707118378e-07
1962-08-06,4.64586747739304e-07
1962-08-07,4.596790574851184e-07
1962-08-08,4.776736091116618e-07
1962-08-09,4.776736091116618e-07
1962-08-10,4.809455731447088e-07
1962-08-13,4.776736091116618e-07
1962-08-14,4.727660041226045e-07
1962-08-15,4.809455731447088e-07
1962-08-16,4.776736091116618e-07
1962-08-17,4.793095627064758e-07
1962-08-20,4.760377123602666e-07
1962-08-21,4.727585007913149e-07
1962-08-22,4.809659230886609e-07
1962-08-23,4.793243419953797e-07
1962-08-24,4.743998545109207e-07
1962-08-27,4.62909127918465e-07
1962-08-28,4.612675184034743e-07
1962-08-29,4.604470973390562e-07
1962-08-30,4.604470973390562e-07
1962-08-31,4.645506521683274e-07
1962-09-04,4.661923753701558e-07
1962-09-05,4.596263067924156e-07
1962-09-06,4.645506521683274e-07
1962-09-07,4.645506521683274e-07
1962-09-10,4.661923753701558e-07
1962-09-11,4.596263067924156e-07
1962-09-12,4.678337859331805e-07
1962-09-13,4.62909127918465e-07
1962-09-14,4.62909127918465e-07
1962-09-17,4.604470973390562e-07
1962-09-18,4.62909127918465e-07
1962-09-19,4.711170333848713e-07
1962-09-20,4.711170333848713e-07
1962-09-21,4.661923753701558e-07
1962-09-24,4.604470973390562e-07
1962-09-25,4.612675184034743e-07
1962-09-26,4.538806592790934e-07
1962-09-27,4.4649382857642205e-07
1962-09-28,4.514184013260092e-07
1962-10-01,4.4649382857642205e-07
1962-10-02,4.48135523356541e-07
1962-10-03,4.497773318234977e-07
1962-10-04,4.514184013260092e-07
1962-10-05,4.48135523356541e-07
1962-10-08,4.497773318234977e-07
1962-10-09,4.55522325637503e-07
1962-10-10,4.530600392627093e-07
1962-10-11,4.4649382857642205e-07
1962-10-12,4.497773318234977e-07
1962-10-15,4.497773318234977e-07
1962-10-16,4.514184013260092e-07
1962-10-17,4.497773318234977e-07
1962-10-18,4.48135523356541e-07
1962-10-19,4.33361918794617e-07
1962-10-22,4.251540701716295e-07
